0.236604,Left,OnlyAdd
-0.7157468,Left,OnlyAdd
-0.6005747,Right,OnlyAdd
0.6698253,Right,OnlyAdd
-0.1388369,Left,OnlyAdd
0.1205981,Right,OnlyAdd
0.1626949,Right,OnlyAdd
0.01924187,Right,OnlyAdd
-1.055977,Right,OnlyAdd
-0.1931922,Left,OnlyAdd
-0.3983645,Left,OnlyAdd
-0.05985307,Left,OnlyAdd
-0.03854262,Left,OnlyAdd
0.1749438,Right,OnlyAdd
-0.04065258,Right,OnlyAdd
-0.475216,Left,OnlyAdd
-0.2400125,Right,OnlyAdd
0.5492761,Right,OnlyAdd
-0.03618679,Left,OnlyAdd
0.1832286,Right,OnlyAdd
-0.03472513,Left,OnlyAdd
-0.07531554,Right,OnlyAdd
0.07344513,Right,OnlyAdd
-0.1681822,Left,OnlyAdd
-0.2658411,Left,OnlyAdd
-0.8252146,Left,OnlyAdd
0.2105227,Right,OnlyAdd
-0.338214,Right,OnlyAdd
-0.5079299,Right,OnlyAdd
-0.1094888,Left,OnlyAdd
-0.1214199,Right,OnlyAdd
0.06659255,Right,OnlyAdd
-0.8265339,Left,OnlyAdd
-0.09953703,Left,OnlyAdd
0.5684139,Right,OnlyAdd
-0.4546635,Left,OnlyAdd
0.74569,Right,OnlyAdd
-0.7717283,Left,OnlyAdd
0.06529588,Right,OnlyAdd
-0.2492291,Left,OnlyAdd
-0.8073804,Left,OnlyAdd
-0.1124118,Right,OnlyAdd
-0.5234159,Left,OnlyAdd
-0.007626884,Right,OnlyAdd
-0.356441,Right,OnlyAdd
0.08463293,Left,OnlyAdd
0.3464771,Left,OnlyAdd
-0.2030807,Right,OnlyAdd
-0.5630788,Left,OnlyAdd
-0.5072267,Left,OnlyAdd
