0.1303636,Left,OnlyAdd
0.07880788,Left,OnlyAdd
0.344839,Right,OnlyAdd
0.1113458,Right,OnlyAdd
0.1177647,Left,OnlyAdd
-0.2104533,Right,OnlyAdd
-0.231238,Right,OnlyAdd
-0.07100108,Right,OnlyAdd
-0.2603056,Right,OnlyAdd
0.4737523,Left,OnlyAdd
0.1285049,Left,OnlyAdd
-0.09060856,Left,OnlyAdd
-0.0739297,Left,OnlyAdd
-0.2268788,Right,OnlyAdd
0.02448243,Right,OnlyAdd
0.2572436,Left,OnlyAdd
-0.1846285,Right,OnlyAdd
-0.3739655,Right,OnlyAdd
0.1001164,Left,OnlyAdd
-0.1167052,Right,OnlyAdd
0.4322951,Left,OnlyAdd
-0.5405306,Right,OnlyAdd
-0.2774819,Right,OnlyAdd
0.03236598,Left,OnlyAdd
0.04116372,Left,OnlyAdd
0.1152345,Left,OnlyAdd
-0.1059898,Right,OnlyAdd
-0.07977314,Right,OnlyAdd
-0.01427812,Right,OnlyAdd
0.05859184,Left,OnlyAdd
0.06049686,Right,OnlyAdd
-0.1474607,Right,OnlyAdd
0.1126105,Left,OnlyAdd
0.09021648,Left,OnlyAdd
-0.2570661,Right,OnlyAdd
0.1818231,Left,OnlyAdd
-0.2769206,Right,OnlyAdd
0.04427154,Left,OnlyAdd
-0.1333942,Right,OnlyAdd
-0.06911531,Left,OnlyAdd
0.1130169,Left,OnlyAdd
-0.05445989,Right,OnlyAdd
-0.1992448,Left,OnlyAdd
0.07654914,Right,OnlyAdd
0.126316,Right,OnlyAdd
0.1161077,Left,OnlyAdd
-0.2034742,Left,OnlyAdd
-0.3004588,Right,OnlyAdd
-0.003600051,Left,OnlyAdd
-0.1542019,Left,OnlyAdd
